Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt9032400,2020-04-24,2020-04-24,,Eternals,https://www.imdb.com/title/tt9032400/,movie,6.3,156,2021,"Action, Adventure, Fantasy, Sci-Fi",372217,2021-10-18,Chloé Zhao
2,tt2953050,2017-05-24,2017-05-24,,Encanto,https://www.imdb.com/title/tt2953050/,movie,7.2,102,2021,"Animation, Comedy, Family, Fantasy, Musical",248644,2021-11-03,"Jared Bush, Byron Howard, Charise Castro Smith"
3,tt6932874,2017-12-19,2017-12-19,,The Boss Baby: Family Business,https://www.imdb.com/title/tt6932874/,movie,5.9,107,2021,"Animation, Adventure, Comedy, Family, Fantasy",21239,2021-07-01,Tom McGrath
4,tt6334354,2019-02-02,2019-02-02,,The Suicide Squad,https://www.imdb.com/title/tt6334354/,movie,7.2,132,2021,"Action, Adventure, Comedy, Sci-Fi",390441,2021-07-28,James Gunn
5,tt6467266,2019-05-10,2019-05-10,,Sing 2,https://www.imdb.com/title/tt6467266/,movie,7.4,110,2021,"Animation, Adventure, Comedy, Family, Musical",80569,2021-11-14,"Garth Jennings, Christophe Lourdelet"
6,tt9376612,2019-07-21,2019-07-21,,Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/,movie,7.4,132,2021,"Action, Adventure, Fantasy, Sci-Fi",418837,2021-08-16,Destin Daniel Cretton
7,tt3228774,2019-10-11,2019-10-11,,Cruella,https://www.imdb.com/title/tt3228774/,movie,7.3,134,2021,"Adventure, Comedy, Crime, Drama",255194,2021-05-18,Craig Gillespie
8,tt10872600,2019-10-11,2019-10-11,,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,movie,8.2,148,2021,"Action, Adventure, Fantasy, Sci-Fi",840869,2021-12-13,Jon Watts
9,tt11125620,2019-11-17,2019-11-17,,The Addams Family 2,https://www.imdb.com/title/tt11125620/,movie,5.4,93,2021,"Animation, Adventure, Comedy, Family, Fantasy, Horror",14993,2021-09-30,"Laura Brousseau, Kevin Pavlovic, Conrad Vernon, Greg Tiernan"
10,tt7991608,2019-12-25,2019-12-25,,Red Notice,https://www.imdb.com/title/tt7991608/,movie,6.3,118,2021,"Action, Comedy, Thriller",302866,2021-11-04,Rawson Marshall Thurber
11,tt2076822,2020-02-16,2020-02-16,,Chaos Walking,https://www.imdb.com/title/tt2076822/,movie,5.7,109,2021,"Action, Adventure, Fantasy, Sci-Fi, Western",54424,2021-02-24,Doug Liman
12,tt0870154,2020-04-24,2020-04-24,,Jungle Cruise,https://www.imdb.com/title/tt0870154/,movie,6.6,127,2021,"Action, Adventure, Comedy, Fantasy",206331,2021-07-24,Jaume Collet-Serra
13,tt5433138,2020-04-24,2020-04-24,,F9,https://www.imdb.com/title/tt5433138/,movie,5.2,143,2021,"Action, Crime, Thriller",156525,2021-05-19,Justin Lin
14,tt7097896,2020-04-24,2020-04-24,,Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/,movie,5.9,97,2021,"Action, Sci-Fi, Thriller",249868,2021-09-14,Andy Serkis
15,tt4513678,2020-04-24,2020-04-24,,Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/,movie,7.1,124,2021,"Adventure, Comedy, Fantasy, Sci-Fi",203274,2021-10-08,Jason Reitman
16,tt5109280,2020-04-24,2020-04-24,,Raya and the Last Dragon,https://www.imdb.com/title/tt5109280/,movie,7.3,107,2021,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",165447,2021-03-03,"Paul Briggs, Carlos López Estrada, Don Hall, John Ripa"
17,tt8385148,2020-06-08,2020-06-08,,Hitman's Wife's Bodyguard,https://www.imdb.com/title/tt8385148/,movie,6.1,100,2021,"Action, Comedy, Crime, Thriller",103783,2021-06-10,Patrick Hughes
18,tt5034838,2020-06-27,2020-06-27,,Godzilla vs. Kong,https://www.imdb.com/title/tt5034838/,movie,6.3,113,2021,"Action, Sci-Fi, Thriller",227362,2021-03-24,Adam Wingard
19,tt7069210,2020-08-07,2020-08-07,,The Conjuring: The Devil Made Me Do It,https://www.imdb.com/title/tt7069210/,movie,6.3,112,2021,"Horror, Mystery, Thriller",133408,2021-05-26,Michael Chaves
20,tt10665338,2020-08-07,2020-08-07,,Halloween Kills,https://www.imdb.com/title/tt10665338/,movie,5.5,105,2021,"Action, Horror, Thriller",95710,2021-09-08,David Gordon Green
21,tt6856242,2020-11-01,2020-11-01,,The King's Man,https://www.imdb.com/title/tt6856242/,movie,6.3,131,2021,"Action, Adventure, Thriller",165556,2021-12-06,Matthew Vaughn
22,tt2382320,2020-11-01,2020-11-01,,No Time to Die,https://www.imdb.com/title/tt2382320/,movie,7.3,163,2021,"Action, Adventure, Thriller",431755,2021-09-28,Cary Joji Fukunaga
23,tt3480822,2020-11-01,2020-11-01,,Black Widow,https://www.imdb.com/title/tt3480822/,movie,6.7,134,2021,"Action, Adventure, Sci-Fi",411226,2021-06-30,Cate Shortland
24,tt1160419,2020-11-01,2020-11-01,,Dune: Part One,https://www.imdb.com/title/tt1160419/,movie,8.0,155,2021,"Action, Adventure, Drama, Sci-Fi",724473,2021-09-03,Denis Villeneuve
25,tt10451914,2021-01-17,2021-01-17,,Outside the Wire,https://www.imdb.com/title/tt10451914/,movie,5.4,114,2021,"Action, Adventure, Fantasy, Sci-Fi",44717,2021-01-15,Mikael Håfström
26,tt6264654,2021-01-17,2021-01-17,,Free Guy,https://www.imdb.com/title/tt6264654/,movie,7.1,115,2021,"Action, Adventure, Comedy, Fantasy, Sci-Fi",406324,2021-08-10,Shawn Levy
27,tt8376234,2021-01-17,2021-01-17,,Peter Rabbit 2: The Runaway,https://www.imdb.com/title/tt8376234/,movie,6.2,93,2021,"Adventure, Comedy, Crime, Drama, Family, Fantasy",13862,2021-03-25,Will Gluck
28,tt0499097,2021-05-05,2021-05-05,,Without Remorse,https://www.imdb.com/title/tt0499097/,movie,5.8,109,2021,"Action, Thriller, War",62731,2021-04-30,Stefano Sollima
29,tt9777666,2021-05-05,2021-05-05,,The Tomorrow War,https://www.imdb.com/title/tt9777666/,movie,6.6,138,2021,"Action, Adventure, Drama, Sci-Fi, Thriller",220510,2021-06-30,Chris McKay
30,tt12361974,2021-05-05,2021-05-05,,Zack Snyder's Justice League,https://www.imdb.com/title/tt12361974/,movie,7.9,242,2021,"Action, Adventure, Fantasy, Sci-Fi",426530,2021-03-18,Zack Snyder
